車站種類,車站狀態,車站編號,車站名稱,所在縣市,行政區,轉乘狀態,轉乘捷運,轉乘台鐵,轉乘高鐵,車站位置,lat,lng
tp_mrt,0,LB04,台北捷運橫溪站,新北市,三峽區,N,0,0,0,新北市三峽區佳興路,24.9377652,121.3915121
tp_mrt,0,LB05,台北捷運龍埔站,新北市,三峽區,N,0,0,0,新北市三峽區三樹路98巷175號,24.9398862,121.38453829999999
tp_mrt,0,LB06,台北捷運三峽站,新北市,三峽區,N,0,0,0,新北市三峽區國慶路102號,24.9389521,121.37650249999999
tp_mrt,0,LB07,台北捷運台北大學站,新北市,三峽區,N,0,0,0,新北市三峽區台北大學(三峽校區),24.9390056,121.36726499999999
tp_mrt,0,LB08,台北捷運鶯歌車站,新北市,鶯歌區,T,0,2,0,新北市鶯歌區館前路239號,24.9529573,121.3558254
tp_mrt,0,LB09,台北捷運陶瓷老街站,新北市,鶯歌區,N,0,0,0,新北市鶯歌區建國路197號,24.952921399999997,121.3490689
tp_mrt,0,LB10,台北捷運國華站,新北市,鶯歌區,N,0,0,0,新北市鶯歌區國華路56號,24.9549926,121.3424284
tp_mrt,0,LB11,台北捷運永吉公園站,新北市,鶯歌區,N,0,0,0,新北市鶯歌區德昌街1號,24.9608684,121.33416650000001
tp_mrt,0,LB12,台北捷運鶯桃福德站,新北市,鶯歌區,N,0,0,0,新北市鶯歌區福德一路1號,24.9666848,121.3297463
tp_mrt,0,LB13,台北捷運西坡路口站,桃園市,八德區,N,0,0,0,桃園市八德區和平路471號,24.957577399999998,121.31061709999999
tp_mrt,0,LB14,台北捷運銀和街站,桃園市,八德區,M,1,0,0,桃園市八德區介壽路二段60號,24.9563551,121.2987399
tp_mrt,0,LG01,台北捷運中正紀念堂站,台北市,中正區,M,2,0,0,台北市中正區南海路b1號,25.0328445,121.5180534
tp_mrt,0,LG02,台北捷運植物園站,台北市,中正區,N,0,0,0,台北市中正區南海路67號,25.0306281,121.5090895
tp_mrt,0,LG03,台北捷運廈安站,台北市,中正區,N,0,0,0,台北市中正區中華路二段212號,25.0301032,121.50415420000002
tp_mrt,0,LG04,台北捷運加蚋站,台北市,萬華區,N,0,0,0,台北市萬華區萬大路385-2號,25.0225933,121.49928329999999
tp_mrt,0,LG05,台北捷運永和站,新北市,永和區,N,0,0,0,新北市永和區保生路11號,25.0083451,121.50568840000001
tp_mrt,0,LG06,台北捷運中和站,新北市,中和區,M,1,0,0,新北市中和區景平路601號,25.0008582,121.4971375
tp_mrt,0,LG07,台北捷運雙和醫院站,新北市,中和區,N,0,0,0,新北市中和區連城路299號,24.9962977,121.48996000000001
tp_mrt,0,LG08,台北捷運中和高中站,新北市,中和區,N,0,0,0,新北市中和區北88鄉道547號,24.9949267,121.4802611
tp_mrt,0,LG08A,台北捷運莒光站,新北市,中和區,N,0,0,0,新北市中和區莒光路222-5號,24.9947516,121.4690709
tp_mrt,0,LG09,台北捷運廷寮站,新北市,土城區,N,0,0,0,新北市土城區金城路三段35號,24.986699899999998,121.46563770000002
tp_mrt,0,LG10,台北捷運清水站,新北市,土城區,N,0,0,0,新北市土城區金城路二段246號,24.9833035,121.4570037
tp_mrt,0,LG11,台北捷運土城站,新北市,土城區,M,1,0,0,新北市土城區捷運土城站,24.9737945,121.44502759999999
tp_mrt,0,LG12,台北捷運埤塘站,新北市,土城區,N,0,0,0,新北市土城區金城路一段1號,24.968839199999998,121.43909450000001
tp_mrt,0,LG13,台北捷運中華中學站,新北市,土城區,N,0,0,0,新北市土城區中華路二段171號1,24.9753604,121.43861170000001
tp_mrt,0,LG14,台北捷運溪州站,新北市,樹林區,N,0,0,0,無資料,24.9846382,121.42598390000002
tp_mrt,0,LG15,台北捷運彭福站,新北市,樹林區,N,0,0,0,新北市樹林區中華路72號,24.981555399999998,121.4198148
tp_mrt,0,LG16,台北捷運育林國小站,新北市,樹林區,N,0,0,0,新北市樹林區大安路435號,24.9882266,121.41513710000001
tp_mrt,0,LG17,台北捷運樹人家商站,新北市,樹林區,N,0,0,0,新北市樹林區大安路287號,24.99431400000001,121.41935349999999
tp_mrt,0,LG18,台北捷運潭底站,新北市,樹林區,N,0,0,0,新北市樹林區中正路103號,25.0009943,121.42537240000001
tp_mrt,0,LG19,台北捷運監理所站,新北市,樹林區,N,0,0,0,新北市樹林區中正路423號,25.0078298,121.41688590000001
tp_mrt,0,LG20,台北捷運三角埔站,新北市,樹林區,N,0,0,0,新北市樹林區中正路755號,25.015287100000002,121.41060949999999
tp_mrt,0,LG21,台北捷運迴龍站,新北市,新莊區,M,1,0,0,新北市新莊區新北大道七段219號迴龍站 242,25.0216551,121.4113498
tp_mrt,1,O01,台北捷運南勢角站,新北市,中和區,N,0,0,0,新北市中和區捷運路6號,24.990065,121.509237
tp_mrt,1,O02,台北捷運景安站,新北市,中和區,M,1,0,0,新北市中和區景平路486號,24.99392000000001,121.505114
tp_mrt,1,O03,台北捷運永安市場站,新北市,中和區,N,0,0,0,新北市中和區中和路388號,25.002895,121.511225
tp_mrt,1,O04,台北捷運頂溪站,新北市,永和區,N,0,0,0,新北市永和區永和路2段168號,25.013858,121.515462
tp_mrt,1,O05,台北捷運古亭站,台北市,中正區,M,1,0,0,台北市中正區羅斯福路2段164之1號,25.026373,121.522868
tp_mrt,1,O06,台北捷運東門站,台北市,大安區,M,1,0,0,台北市大安區信義路2段166號,25.033894,121.528766
tp_mrt,1,O07,台北捷運忠孝新生站,台北市,大安區,M,1,0,0,台北市大安區新生南路1段67號,25.042498,121.53321
tp_mrt,1,O08,台北捷運松江南京站,台北市,中山區,M,1,0,0,台北市中山區松江路126號,25.052693,121.53285
tp_mrt,1,O09,台北捷運行天宮站,台北市,中山區,M,1,0,0,台北市中山區松江路316號,25.05924,121.53315
tp_mrt,1,O10,台北捷運中山國小站,台北市,中山區,N,0,0,0,台北市中山區民權東路1段71號,25.062665,121.526609
tp_mrt,1,O11,台北捷運民權西路站,台北市,大同區,M,1,0,0,台北市大同區民權西路72號,25.06235,121.519585
tp_mrt,1,O12,台北捷運大橋頭站,台北市,大同區,M,1,0,0,台北市大同區民權西路223號,25.06322,121.513003
tp_mrt,1,O13,台北捷運台北橋站,新北市,三重區,N,0,0,0,新北市三重區重新路1段108號,25.063075,121.500575
tp_mrt,1,O14,台北捷運菜寮站,新北市,三重區,N,0,0,0,新北市三重區重新路3段150號,25.059451,121.491421
tp_mrt,1,O15,台北捷運三重站,新北市,三重區,M,1,0,0,新北市三重區捷運路36號,25.05571,121.48422
tp_mrt,1,O16,台北捷運先嗇宮站,新北市,三重區,N,0,0,0,新北市三重區重新路5段515號,25.04632,121.47165
tp_mrt,1,O17,台北捷運頭前庄站,新北市,新莊區,M,1,0,0,新北市新莊區思源路18號,25.039862,121.460479
tp_mrt,1,O18,台北捷運新莊站,新北市,新莊區,N,0,0,0,新北市新莊區中正路138號,25.03608,121.45218
tp_mrt,1,O19,台北捷運輔大站,新北市,新莊區,N,0,0,0,新北市新莊區中正路510之1號,25.03279,121.435735
tp_mrt,1,O20,台北捷運丹鳳站,新北市,新莊區,N,0,0,0,新北市新莊區中正路624之1號,25.029073,121.422422
tp_mrt,1,O21,台北捷運迴龍站,新北市,新莊區,M,2,0,0,新北市新莊區中正路758號,25.022107,121.411757
tp_mrt,1,O50,台北捷運三重國小站,新北市,三重區,N,0,0,0,新北市三重區三和路3段5號,25.070275,121.49701
tp_mrt,1,O51,台北捷運三和國中站,新北市,三重區,N,0,0,0,新北市三重區三和路4段107號,25.07646,121.486795
tp_mrt,1,O52,台北捷運徐匯中學站,新北市,蘆洲區,M,1,0,0,新北市蘆洲區中山一路3號,25.080485,121.479945
tp_mrt,1,O53,台北捷運三民高中站,新北市,蘆洲區,N,0,0,0,新北市蘆洲區三民路105號,25.085425,121.473365
tp_mrt,1,O54,台北捷運蘆洲站,新北市,蘆洲區,N,0,0,0,新北市蘆洲區三民路386號,25.09152000000001,121.46471
tp_mrt,1,R02,台北捷運象山站,台北市,信義區,M,1,0,0,台北市信義區信義路5段152號,25.032395,121.57011599999998
tp_mrt,1,R03,台北捷運台北101/世貿站,台北市,信義區,N,0,0,0,台北市信義區信義路5段20號,25.032865,121.563667
