Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,Num_Mrt,Num_Train,Num_Thsr,Station_Address,lat,lng
TpMrt,1,BR23,南港軟體園區站,台北市,南港區,N,1,0,0,台北市南港區經貿二路183號,25.05992,121.615
TpMrt,1,BR24_BL23,南港展覽館站,台北市,南港區,M,2,0,0,文湖線：115018台北市南港區南港路1段32號,25.054919,121.61686100000001
TpMrt,1,G01,新店站,新北市,新店區,N,1,0,0,新北市新店區北宜路1段2號,24.95761,121.53746000000001
TpMrt,1,G02,新店區公所站,新北市,新店區,N,1,0,0,新北市新店區北新路1段295號,24.96744,121.5413
TpMrt,1,G03,七張站,新北市,新店區,N,1,0,0,新北市新店區北新路2段150號,24.97545,121.54298500000002
TpMrt,1,G03A,小碧潭站,新北市,新店區,N,1,0,0,新北市新店區中央路151號,24.97188,121.53058
TpMrt,1,G04_Y07,大坪林站,新北市,新店區,M,2,0,0,新北市新店區北新路3段190號,24.98272,121.54133999999999
TpMrt,1,G05,景美站,台北市,文山區,N,1,0,0,台北市文山區羅斯福路6段216號,24.992824,121.540697
TpMrt,1,G06,萬隆站,台北市,文山區,N,1,0,0,台北市文山區羅斯福路5段214號,25.001978,121.53900800000001
TpMrt,1,G07,公館站,台北市,中正區,N,1,0,0,台北市中正區羅斯福路4段64之1號,25.014781,121.53435800000001
TpMrt,1,G08,台電大樓站,台北市,中正區,N,1,0,0,台北市中正區羅斯福路3段126之5號,25.020733,121.528143
TpMrt,1,G09_O05,古亭站,台北市,中正區,M,2,0,0,台北市中正區羅斯福路2段164之1號,25.026373,121.52286799999999
TpMrt,1,G11,小南門站,台北市,中正區,N,1,0,0,台北市中正區愛國西路22號,25.035585,121.51088
TpMrt,1,G12_BL11,西門站,台北市,中正區,M,2,0,0,台北市中正區寶慶路32之1號,25.042025,121.508175
TpMrt,1,G13,北門站,台北市,大同區,N,1,0,0,台北市大同區塔城街10號,25.049554,121.51018400000001
TpMrt,1,G15_O08,松江南京站,台北市,中山區,M,2,0,0,台北市中山區松江路126號,25.052692999999998,121.53285
TpMrt,1,G17,台北小巨蛋站,台北市,松山區,N,1,0,0,台北市松山區南京東路4段10之1號,25.05152,121.552549
TpMrt,1,G18,南京三民站,台北市,松山區,N,1,0,0,台北市松山區南京東路5段237號,25.051588,121.56471
TpMrt_Train,1,G19_0990,松山站,台北市,松山區,MT,1,1,0,台北市松山區八德路4段742號,25.050117999999998,121.577706
TpMrt,0,LB01_BL01,頂埔站(規劃中),新北市,土城區,M,2,0,0,新北市土城區台3線74號,24.96012,121.4205
TpMrt,0,LB02,媽祖田站(規劃中),新北市,土城區,N,1,0,0,新北市土城區中央路四段281之6號,24.953573199999997,121.4121544
TpMrt,0,LB03,長壽山站(規劃中),新北市,三峽區,N,1,0,0,新北市三峽區介壽路三段211號,24.9443076,121.40271299999999
TpMrt,0,LB04,橫溪站(規劃中),新北市,三峽區,N,1,0,0,新北市三峽區佳興路,24.9377652,121.3915121
TpMrt,0,LB05,龍埔站(規劃中),新北市,三峽區,N,1,0,0,新北市三峽區三樹路98巷175號,24.9398862,121.38453829999999
TpMrt,0,LB06,三峽站(規劃中),新北市,三峽區,N,1,0,0,新北市三峽區國慶路102號,24.9389521,121.37650249999999
TpMrt,0,LB07,台北大學站(規劃中),新北市,三峽區,N,1,0,0,新北市三峽區台北大學(三峽校區),24.9390056,121.36726499999999
TpMrt,0,LB08,鶯歌車站(規劃中),新北市,鶯歌區,N,1,0,0,新北市鶯歌區館前路239號,24.9529573,121.3558254
TpMrt,0,LB09,陶瓷老街站(規劃中),新北市,鶯歌區,N,1,0,0,新北市鶯歌區建國路197號,24.952921399999997,121.3490689
TpMrt,0,LB10,國華站(規劃中),新北市,鶯歌區,N,1,0,0,新北市鶯歌區國華路56號,24.9549926,121.3424284
TpMrt,0,LB11,永吉公園站(規劃中),新北市,鶯歌區,N,1,0,0,新北市鶯歌區德昌街1號,24.9608684,121.33416650000001
TpMrt,0,LB12,鶯桃福德站(規劃中),新北市,鶯歌區,N,1,0,0,新北市鶯歌區福德一路1號,24.9666848,121.3297463
TpMrt,0,LB13,豎啣埤站(規劃中),桃園市,八德區,N,1,0,0,桃園市八德區和平路471號,24.957577399999998,121.31061709999999
TpMrt_TyMrt,0,LB14_G04,大湳站(規劃中),桃園市,八德區,M,2,0,0,桃園市八德區介壽路二段60號,24.9564427,121.2988097
TpMrt,0,LG01_R08_G10,中正紀念堂站(規劃中),台北市,中正區,M,3,0,0,台北市中正區南海路b1號,25.032767,121.518273
TpMrt,0,LG02,植物園站(規劃中),台北市,中正區,N,1,0,0,台北市中正區南海路67號,25.0306281,121.5090895
TpMrt,0,LG03,廈安站(規劃中),台北市,中正區,N,1,0,0,台北市中正區中華路二段212號,25.0301032,121.50415420000002
TpMrt,0,LG04,加蚋站(規劃中),台北市,萬華區,N,1,0,0,台北市萬華區萬大路385-2號,25.0225933,121.49928329999999
TpMrt,0,LG05,永和站(規劃中),新北市,永和區,N,1,0,0,新北市永和區保生路11號,25.0083451,121.50568840000001
TpMrt,0,LG06_Y12,中和站(規劃中),新北市,中和區,M,2,0,0,新北市中和區景平路601號,25.001981,121.496052
TpMrt,0,LG07,雙和醫院站(規劃中),新北市,中和區,N,1,0,0,新北市中和區連城路299號,24.9962977,121.48996000000001
TpMrt,0,LG08,中和高中站(規劃中),新北市,中和區,N,1,0,0,新北市中和區北88鄉道547號,24.9949267,121.4802611
TpMrt,0,LG08A,莒光站(規劃中),新北市,中和區,N,1,0,0,新北市中和區莒光路222-5號,24.9947516,121.4690709
TpMrt,0,LG09,廷寮站(規劃中),新北市,土城區,N,1,0,0,新北市土城區金城路三段35號,24.986699899999998,121.46563770000002
TpMrt,0,LG10,清水站(規劃中),新北市,土城區,N,1,0,0,新北市土城區金城路二段246號,24.9833035,121.4570037
TpMrt,0,LG11_BL03,土城站(規劃中),新北市,土城區,M,2,0,0,新北市土城區捷運土城站,24.973129999999998,121.44431999999999
TpMrt,0,LG12,埤塘站(規劃中),新北市,土城區,N,1,0,0,新北市土城區金城路一段1號,24.968839199999998,121.43909450000001
