,Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,N_Mrt,N_Train,N_Thsr,Station_Address,lat,lng,Vol_All,Vol_Workday,Vol_Weekend,Weekend_Percent
18,TpMrt,1,BR01,動物園站,台北市,文山區,N,1,0,0,台北市文山區新光路2段32號,24.998205,121.579501,17291.7709677419,15982.7341426689,20509.5,0.334705477526467
19,TpMrt,1,BR02,木柵站,台北市,文山區,N,1,0,0,台北市文山區木柵路4段135號,24.99824,121.573127,8425.68888888889,9180.11823200954,6540.83333333333,0.218766545840196
20,TpMrt,1,BR03,萬芳社區站,台北市,文山區,N,1,0,0,台北市文山區萬芳路60號,24.99857,121.568088,4577.48996415771,4930.53472614342,3688.84166666667,0.227482123476593
21,TpMrt,1,BR04,萬芳醫院站,台北市,文山區,N,1,0,0,台北市文山區興隆路3段113號,24.99932,121.558092,27352.4329749104,30464.2775895602,19491.975,0.201366841564609
22,TpMrt,1,BR05,辛亥站,台北市,文山區,N,1,0,0,台北市文山區辛亥路4段128號,25.005455,121.557046,6065.42759856631,6492.55078737687,4991.46666666667,0.23226675465739
23,TpMrt,1,BR06,麟光站,台北市,大安區,N,1,0,0,台北市大安區和平東路3段410號,25.018495,121.558834,8720.4329749104,8852.33201581028,8318.64166666667,0.270607827669858
24,TpMrt,1,BR07,六張犁站,台北市,大安區,N,1,0,0,台北市大安區和平東路3段168號,25.02381,121.55302,22572.7770609319,24772.7998933434,17022.7333333333,0.212929251761098
25,TpMrt,1,BR08,科技大樓站,台北市,大安區,N,1,0,0,台北市大安區復興南路2段235號,25.02612,121.543462,28412.49390681,31321.7085764477,21055.3333333333,0.209439110424814
26,TpMrt,1,BR10_BL15,忠孝復興站,台北市,大安區,M,2,0,0,台北市大安區忠孝東路3段302號,25.041749,121.545026,96378.6444444444,96538.6572871573,96019.775,0.281293180242075
27,TpMrt,1,BR11_G16,南京復興站,台北市,松山區,M,2,0,0,台北市松山區南京東路3段253號,25.052044,121.544303,75055.923297491,85716.5356672313,48159.1416666667,0.180936446362296
28,TpMrt,1,BR12,中山國中站,台北市,中山區,N,1,0,0,台北市中山區復興北路376號,25.06085,121.544215,28717.8666666667,31954.0222724136,20580.3416666667,0.202024975180337
29,TpMrt,1,BR13,松山機場站,台北市,松山區,N,1,0,0,台北市松山區敦化北路338號,25.062908,121.55201,11004.3931899642,11602.231570362,9497.11666666667,0.243601075198033
30,TpMrt,1,BR14,大直站,台北市,中山區,N,1,0,0,台北市中山區北安路534之1號,25.07943,121.54679,18685.2784946237,20414.8855009725,14380.0083333333,0.21704146332392
31,TpMrt,1,BR15,劍南路站,台北市,中山區,N,1,0,0,台北市中山區北安路798號,25.08483,121.555582,24184.3917562724,24073.4482401656,24493.1083333333,0.286026537417866
32,TpMrt,1,BR16,西湖站,台北市,內湖區,N,1,0,0,台北市內湖區內湖路1段256號,25.08216,121.567227,30234.1996415771,37308.8438421482,12389.05,0.115445251846771
33,TpMrt,1,BR17,港墘站,台北市,內湖區,N,1,0,0,台北市內湖區內湖路1段663號,25.08007,121.57516,29476.0541218638,35205.0281698977,15072.975,0.143720198626975
34,TpMrt,1,BR18,文德站,台北市,內湖區,N,1,0,0,台北市內湖區文德路214號,25.078455,121.584999,10743.2301075269,11676.1443315139,8420.275,0.220637085274611
35,TpMrt,1,BR19,內湖站,台北市,內湖區,N,1,0,0,台北市內湖區成功路4段186號,25.083675,121.594363,18134.6605734767,18772.6146245059,16537.3916666667,0.257412615944952
36,TpMrt,1,BR20,大湖公園站,台北市,內湖區,N,1,0,0,台北市內湖區成功路5段11號,25.083805,121.602214,6978.49713261649,7023.55815923207,6890.9,0.278192163163892
37,TpMrt,1,BR21,葫洲站,台北市,內湖區,N,1,0,0,台北市內湖區康寧路3段16號,25.07271,121.607146,15859.79390681,17519.7342054081,11705.8833333333,0.208038609734521
38,TpMrt,1,BR22,東湖站,台北市,內湖區,N,1,0,0,台北市內湖區康寧路3段235號,25.067455,121.611535,16587.6318996416,17832.4383587427,13462.2416666667,0.229088107341494
39,TpMrt,1,BR23,南港軟體園區站,台北市,南港區,N,1,0,0,台北市南港區經貿二路183號,25.05992,121.615,9376.97347670251,11067.9621996361,5119.45833333333,0.153172154004762
40,TpMrt,1,BR24_BL23,南港展覽館站,台北市,南港區,M,2,0,0,文湖線：115018台北市南港區南港路1段32號,25.054919,121.616861,60264.5225806452,64872.9989334337,49304.3833333333,0.228581231903012
41,TpMrt,1,G01,新店站,新北市,新店區,N,1,0,0,新北市新店區北宜路1段2號,24.95761,121.53746,26444.3917562724,26071.2324800803,27447.15,0.291019733479817
42,TpMrt,1,G02,新店區公所站,新北市,新店區,N,1,0,0,新北市新店區北新路1段295號,24.96744,121.5413,22723.6956989247,24040.423175858,19423.4166666667,0.241215086338931
43,TpMrt,1,G03,七張站,新北市,新店區,N,1,0,0,新北市新店區北新路2段150號,24.97545,121.542985,32828.605734767,34936.5183198444,27531.6,0.236714760754498
44,TpMrt,1,G03A,小碧潭站,新北市,新店區,N,1,0,0,新北市新店區中央路151號,24.97188,121.53058,4767.43225806452,4897.59881422925,4442.88333333333,0.263043862191312
45,TpMrt,1,G04_Y07,大坪林站,新北市,新店區,M,2,0,0,新北市新店區北新路3段190號,24.98272,121.54134,41047.7401433692,44776.102955016,31671.8916666667,0.217652918548437
46,TpMrt,1,G05,景美站,台北市,文山區,N,1,0,0,台北市文山區羅斯福路6段216號,24.992824,121.540697,34082.1612903226,35320.2834870444,31068.05,0.25693120775666
47,TpMrt,1,G06,萬隆站,台北市,文山區,N,1,0,0,台北市文山區羅斯福路5段214號,25.001978,121.539008,19707.2620071685,20506.161427944,17712.6,0.253616083820447
48,TpMrt,1,G07,公館站,台北市,中正區,N,1,0,0,台北市中正區羅斯福路4段64之1號,25.014781,121.534358,59248.3523297491,57968.451941778,62259.975,0.297158210344329
49,TpMrt,1,G08,台電大樓站,台北市,中正區,N,1,0,0,台北市中正區羅斯福路3段126之5號,25.020733,121.528143,36955.576702509,37656.387477257,35194.3,0.268959234940454
50,TpMrt,1,G09_O05,古亭站,台北市,中正區,M,2,0,0,台北市中正區羅斯福路2段164之1號,25.026373,121.522868,65087.4007168459,69878.6124286342,53022.3083333333,0.230011778754962
