,Name,Address,lng,lat,Type
118,寒咖啡_寵物友善,320台灣桃園市中壢區慈惠一街124巷6號,121.2251461,24.960482,"['cafe', 'food', 'point_of_interest', 'establishment']"
119,生活在他方 (無接受訂位),100台灣台北市中正區羅斯福路一段119巷3號,121.520574,25.03048,"['cafe', 'book_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
120,艾妮咖啡館,330台灣桃園市桃園區中正路820號,121.3009175,25.0112469,"['cafe', 'food', 'point_of_interest', 'establishment']"
121,cama café 忠孝杭州店,100台灣台北市中正區杭州南路一段1號,121.526931,25.0436499,"['cafe', 'food', 'point_of_interest', 'establishment']"
122,棧Cafe,110台灣台北市信義區,121.5632586,25.0391567,"['cafe', 'food', 'point_of_interest', 'establishment']"
123,Basement Cafe 樓下咖啡,"B1, No. 10號光復南路420巷大安區台北市台灣 106",121.5565382,25.0366379,"['restaurant', 'cafe', 'electronics_store', 'home_goods_store', 'bar', 'food', 'point_of_interest', 'store', 'establishment']"
124,cama café 中壢中北店,320台灣桃園市中壢區中北路二段230號,121.2291337,24.9530052,"['cafe', 'food', 'point_of_interest', 'establishment']"
125,夏濃咖啡 shalom cafe,330台灣桃園市桃園區同德十一街135號,121.295434,25.0200149,"['cafe', 'food', 'point_of_interest', 'establishment']"
126,85度C咖啡蛋糕飲料(板橋三民店),"號, No. 66三民路二段板橋區新北市台灣 220",121.4791704,25.0173482,"['cafe', 'food', 'point_of_interest', 'establishment']"
127,Moi Cafe 仁愛店,106台灣台北市大安區仁愛路四段408巷13號,121.556947,25.037167,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
128,CAFE!N 硬咖啡 桃機二航店,337台灣桃園市大園區航站南路9號5樓,121.2322312,25.0772482,"['cafe', 'food', 'point_of_interest', 'establishment']"
129,agnès b. 京站店,103台灣台北市大同區承德路一段1號1樓,121.5174786,25.0490999,"['cafe', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']"
130,cafe barco手感烘焙專業咖啡,231台灣新北市新店區中正路523號號,121.5334291,24.9851337,"['cafe', 'food', 'point_of_interest', 'establishment']"
131,85度C 板橋國光店,220台灣新北市板橋區國光路189號,121.461152,25.0185313,"['cafe', 'food', 'point_of_interest', 'establishment']"
132,幸福樂手咖啡館 Erato Cafe,220台灣新北市板橋區民生路三段30-1號,121.467817,25.0247,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
133,YOLO'S CAFE 長安建國店,10491台灣台北市中山區長安東路二段129巷9號,121.5360715,25.0490329,"['cafe', 'food', 'point_of_interest', 'establishment']"
134,Libo Cafe,104台灣台北市中山區中山北路二段42巷12號,121.521935,25.0545945,"['cafe', 'food', 'point_of_interest', 'establishment']"
135,丹堤咖啡,237台灣新北市樹林區大雅路275號,121.3799148,24.9462714,"['cafe', 'food', 'point_of_interest', 'establishment']"
