,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
53,TpMrt,1,G13,北門站,N,1.0,37,16,17,12,3,0,15,5,7,173,21594.42,1117.78,61276.0,12.65,69.13,18.23,26.01,38.84,18.31,26.37,37.63,41.85,7.29,0.44,48.1,43.12,5.41,0.79,25.873,26.622,26.16,2508.0,38.0,16.0,27.0,10.0,60.0,7.0,5,4,4,4,2,9,4,0.0
54,TpMrt,1,G15_O08,松江南京站,M,1.9999999999999998,85,25,62,21,4,0,25,4,13,125,27823.19,1394.72,58043.0,14.41,65.96,19.66,23.93,37.7,21.84,29.8,46.12,34.56,4.6,0.24,46.89,45.51,5.74,0.78,70.837,82.758,16.22,2475.0,29.0,12.0,31.0,20.0,20.0,8.0,4,4,3,5,5,3,4,0.0
55,TpMrt,1,G17,台北小巨蛋站,N,1.0,47,25,46,42,5,0,47,2,11,124,27936.02,1362.73,58946.0,13.09,66.61,20.31,24.44,37.89,19.65,30.5,47.48,34.5,4.59,0.24,46.78,46.19,5.05,0.78,46.976000000000006,50.916,22.25,2464.0,28.0,11.0,11.0,15.0,3.0,8.0,4,4,3,1,4,0,4,0.0
56,TpMrt,1,G18,南京三民站,N,1.0,51,25,54,30,6,0,36,0,11,111,24550.57,1341.63,53107.0,13.25,66.92,19.83,24.91,37.67,19.8,29.64,46.66,34.76,4.93,0.28,46.99,46.59,4.88,0.79,46.25899999999999,51.342,20.39,1800.0,19.0,5.0,11.0,15.0,2.0,8.0,3,4,1,1,4,0,4,0.0
57,TpMrt_Train,1,G19_0990,松山站,MT,1.9999999999999998,34,18,21,21,1,0,22,2,8,88,18870.39,1302.39,42797.0,13.18,67.97,18.84,25.61,37.96,19.39,27.72,45.52,35.56,5.3,0.31,47.42,46.56,4.69,0.82,81.355,86.679,23.1,3931.0,6.0,1.0,0.0,10.0,1.0,8.0,7,3,0,0,2,0,4,1.0
58,TpMrt,0,LB01_BL01,頂埔站(規劃中),M,1.9999999999999998,13,6,6,5,1,0,6,1,5,30,3059.16,843.21,12895.0,13.01,75.4,11.55,30.34,39.46,17.26,15.32,27.93,50.45,7.95,0.5,49.76,42.46,3.79,0.74,0.0,0.0,0.0,1208.0,0.0,0.0,0.0,3.0,0.0,0.0,2,0,0,0,0,0,0,0.0
59,TpMrt,0,LB02,媽祖田站(規劃中),N,1.0,4,4,1,4,0,0,4,0,5,24,2739.91,942.52,10190.0,14.82,73.53,11.64,29.15,38.78,20.15,15.83,29.48,47.67,7.42,0.48,49.71,43.55,4.28,0.8,0.0,0.0,0.0,750.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
60,TpMrt,0,LB03,長壽山站(規劃中),N,1.0,2,2,0,1,0,0,1,0,1,16,2375.03,1044.43,8003.0,17.42,71.27,11.35,27.18,38.44,24.44,15.92,32.84,43.3,5.86,0.44,48.96,44.53,5.52,0.86,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0
61,TpMrt,0,LB04,橫溪站(規劃中),N,1.0,2,0,0,3,0,0,3,0,0,22,2757.35,992.21,10791.0,16.45,72.58,10.99,28.2,38.47,22.66,15.14,31.4,45.75,5.91,0.41,48.99,43.11,4.99,0.87,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
62,TpMrt,0,LB05,龍埔站(規劃中),N,1.0,1,0,0,9,0,0,9,0,2,23,2696.4,987.33,10681.0,16.38,72.6,11.03,28.24,38.44,22.57,15.19,31.14,45.94,6.04,0.42,49.12,43.04,4.92,0.85,0.0,0.0,0.0,,4.0,0.0,0.0,2.0,0.0,0.0,0,2,0,0,0,0,0,-2.0
